@RELATION hddperf

@ATTRIBUTE writepct NUMERIC
@ATTRIBUTE leaders NUMERIC
@ATTRIBUTE followers NUMERIC
@ATTRIBUTE iops NUMERIC

@DATA
10,1,0,1192.90909090909
20,1,0,1136.72727272727
30,1,0,961.454545454545
40,1,0,1109.72727272727
45,1,0,967.818181818182
50,1,0,664.818181818182
55,1,0,655.909090909091
60,1,0,951.636363636364
70,1,0,1019
80,1,0,995.636363636364
90,1,0,1056.72727272727
100,1,0,1145.27272727273
10,2,0,609.5
20,2,0,716
30,2,0,665.5
40,2,0,844
45,2,0,667
50,2,0,295
55,2,0,293.5
60,2,0,506.75
70,2,0,705.5
80,2,0,705
90,2,0,755.25
100,2,0,792
10,4,0,515.5
20,4,0,599
30,4,0,612.5
40,4,0,654.5
45,4,0,499
50,4,0,325
55,4,0,185
60,4,0,383.5
70,4,0,584
80,4,0,589
90,4,0,673.5
100,4,0,770
10,6,0,413
20,6,0,569
30,6,0,581
40,6,0,579
45,6,0,539
50,6,0,340
55,6,0,157
60,6,0,445
70,6,0,421
80,6,0,522
90,6,0,563
100,6,0,670
10,8,0,438
20,8,0,515
30,8,0,502
40,8,0,533
45,8,0,469
50,8,0,321
55,8,0,102
60,8,0,76
70,8,0,382
80,8,0,452
90,8,0,541
100,8,0,611
10,1,1,1170.71428571429
20,1,1,1179.14285714286
30,1,1,1083.28571428571
40,1,1,1075.71428571429
45,1,1,843.571428571429
50,1,1,647.714285714286
55,1,1,519.142857142857
60,1,1,752.428571428571
70,1,1,834
80,1,1,835.285714285714
90,1,1,830.857142857143
100,1,1,819.714285714286
10,3,1,668.5
20,3,1,708.5
30,3,1,723
40,3,1,781.5
45,3,1,575.5
50,3,1,488
55,3,1,181
60,3,1,411
70,3,1,633
80,3,1,662.5
90,3,1,704
100,3,1,762
10,5,1,509
20,5,1,635
30,5,1,667
40,5,1,650
45,5,1,656
50,5,1,485
55,5,1,84
60,5,1,503
70,5,1,552
80,5,1,596
90,5,1,637
100,5,1,692
10,7,1,420
20,7,1,567
30,7,1,466
40,7,1,612
45,7,1,488
50,7,1,346
55,7,1,182
60,7,1,141
70,7,1,519
80,7,1,489
90,7,1,564
100,7,1,619
10,11,1,216
20,11,1,304
30,11,1,498
40,11,1,479
45,11,1,392
50,11,1,367
55,11,1,148
60,11,1,250
70,11,1,388
80,11,1,432
90,11,1,453
100,11,1,517
10,15,1,188
20,15,1,143
