@RELATION st1perf

@ATTRIBUTE writepct NUMERIC
@ATTRIBUTE leaders NUMERIC
@ATTRIBUTE followers NUMERIC
@ATTRIBUTE iops NUMERIC

@DATA
10,1,0,1946.92307692308
20,1,0,1580.30769230769
30,1,0,1430.69230769231
40,1,0,1198.30769230769
45,1,0,990.076923076923
50,1,0,1012.30769230769
55,1,0,973.230769230769
60,1,0,935.846153846154
70,1,0,843.692307692308
80,1,0,780.384615384615
90,1,0,769.153846153846
100,1,0,729.384615384615
10,2,0,649.833333333333
20,2,0,738.833333333333
30,2,0,805.833333333333
40,2,0,845
45,2,0,802
50,2,0,804.666666666667
55,2,0,864.333333333333
60,2,0,846
70,2,0,814.5
80,2,0,687.333333333333
90,2,0,615.166666666667
100,2,0,539
10,4,0,582
20,4,0,596
30,4,0,604
40,4,0,612.5
45,4,0,579
50,4,0,577
55,4,0,615.5
60,4,0,612
70,4,0,605
80,4,0,559.5
90,4,0,550
100,4,0,539.5
10,6,0,655
20,6,0,657
30,6,0,657
40,6,0,647
45,6,0,619
50,6,0,621
55,6,0,655
60,6,0,658
70,6,0,660
80,6,0,627
90,6,0,620
100,6,0,609
10,8,0,619
20,8,0,621
30,8,0,618
40,8,0,619
45,8,0,584
50,8,0,582
55,8,0,618
60,8,0,618
70,8,0,619
80,8,0,586
90,8,0,584
100,8,0,578
10,1,1,2518.71428571429
20,1,1,1972
30,1,1,1438
40,1,1,1132.71428571429
45,1,1,969.142857142857
50,1,1,911.857142857143
55,1,1,899
60,1,1,842.142857142857
70,1,1,747.428571428571
80,1,1,635.714285714286
90,1,1,584.714285714286
100,1,1,546.857142857143
10,3,1,744.75
20,3,1,746.5
30,3,1,741.5
40,3,1,730.25
45,3,1,669.75
50,3,1,664.5
55,3,1,703
60,3,1,687
70,3,1,654.75
80,3,1,590.5
90,3,1,562
100,3,1,541
10,5,1,769
20,5,1,740
30,5,1,743
40,5,1,708.5
45,5,1,670.5
50,5,1,655
55,5,1,687.5
60,5,1,686.5
70,5,1,678
80,5,1,621.5
90,5,1,613
100,5,1,590
10,7,1,694
20,7,1,680
30,7,1,672
40,7,1,657
45,7,1,615
50,7,1,611
55,7,1,644
60,7,1,644
70,7,1,641
80,7,1,600
90,7,1,592
100,7,1,576
10,11,1,685
20,11,1,675
30,11,1,677
40,11,1,669
45,11,1,620
50,11,1,627
55,11,1,650
60,11,1,648
70,11,1,651
80,11,1,610
90,11,1,604
100,11,1,601
10,15,1,647
20,15,1,639
30,15,1,630
40,15,1,629
45,15,1,592
50,15,1,591
55,15,1,625
60,15,1,623
70,15,1,621
80,15,1,583
90,15,1,583
100,15,1,580
10,2,2,613.6
20,2,2,637
30,2,2,645
40,2,2,647.6
45,2,2,613.6
50,2,2,610
55,2,2,641.2
60,2,2,632.8
70,2,2,619.4
80,2,2,569
90,2,2,554.6
100,2,2,539.2
10,4,2,646
20,4,2,650
30,4,2,655.333333333333
40,4,2,658.666666666667
45,4,2,621.666666666667
50,4,2,629.666666666667
55,4,2,661.666666666667
60,4,2,662
70,4,2,666
80,4,2,614.666666666667
90,4,2,605.666666666667
100,4,2,599
10,6,2,610
20,6,2,618
30,6,2,618
40,6,2,619
